,count
"(-74.01292792580078, 40.67732999734482, -74.01230404211701, 40.67786297229144)",385
"(-74.01230404211701, 40.67786297229144, -74.01167952233229, 40.67839360254641)",385
"(-74.00898332118193, 40.67196815773068, -74.00912811645168, 40.67175821011781)",75
"(-74.00898332118193, 40.67196815773068, -74.0086280170476, 40.672664392124425)",75
"(-74.00912811645168, 40.67175821011781, -74.00982455709726, 40.67193240065016)",75
"(-74.0086280170476, 40.672664392124425, -74.00834130627216, 40.673297871618665)",188
"(-74.00834130627216, 40.673297871618665, -74.00664999463368, 40.672802949746284)",188
"(-74.00664999463368, 40.672802949746284, -74.00507901800565, 40.672363821569554)",188
"(-74.01167952233229, 40.67839360254641, -74.01105454214019, 40.67892540008934)",385
"(-74.01105454214019, 40.67892540008934, -74.0104278017604, 40.679459760827726)",385
"(-74.0104278017604, 40.679459760827726, -74.0098052973035, 40.679990668785656)",385
"(-74.00507901800565, 40.672363821569554, -74.00324168663221, 40.67185224228774)",197
"(-74.00324168663221, 40.67185224228774, -74.00121990408616, 40.67131290977163)",66
"(-74.00324168663221, 40.67185224228774, -74.0029102125256, 40.672534418424206)",131
"(-74.00549809675486, 40.684325958076045, -74.0058192546913, 40.68365655427884)",385
"(-74.00549809675486, 40.684325958076045, -74.0051788806772, 40.68499519603984)",385
"(-74.0058192546913, 40.68365655427884, -74.00596041075583, 40.6833628714425)",385
"(-74.00121990408616, 40.67131290977163, -73.99996327714682, 40.67097956347766)",66
"(-73.99996327714682, 40.67097956347766, -73.99965926029755, 40.67162708750218)",66
"(-74.0029102125256, 40.672534418424206, -74.00260810959696, 40.67318223913758)",131
"(-74.00260810959696, 40.67318223913758, -74.00229347570239, 40.67383738764887)",131
"(-74.00229347570239, 40.67383738764887, -74.0021957461331, 40.673876327824665)",131
"(-73.99965926029755, 40.67162708750218, -73.99934695849022, 40.67227260157711)",66
"(-73.99934695849022, 40.67227260157711, -73.99916167322917, 40.67223906519065)",66
"(-73.99916167322917, 40.67223906519065, -73.99906486592292, 40.672333349284635)",66
"(-74.00132421164997, 40.67571223891586, -74.00133729257621, 40.67567803721193)",146
"(-74.00132421164997, 40.67571223891586, -74.00131039746167, 40.67575045782299)",146
"(-74.00133729257621, 40.67567803721193, -74.00140309034917, 40.675538371982505)",146
"(-74.0021957461331, 40.673876327824665, -74.00214853978879, 40.67397737370359)",131
"(-74.0016160595481, 40.67508631433326, -74.00080909824769, 40.67487608863167)",3
"(-74.0016160595481, 40.67508631433326, -74.00164250269819, 40.67503235870913)",149
"(-74.0016160595481, 40.67508631433326, -74.00140309034917, 40.675538371982505)",146
"(-74.00080909824769, 40.67487608863167, -74.00062831120819, 40.67482495852469)",3
"(-73.99898242869834, 40.67241358358645, -73.99906486592292, 40.672333349284635)",66
"(-73.99898242869834, 40.67241358358645, -73.99891277678674, 40.67248076138065)",66
"(-73.99891277678674, 40.67248076138065, -73.99881832242767, 40.67257410785038)",66
"(-74.00131039746167, 40.67575045782299, -74.00129096519822, 40.675797986313526)",146
"(-74.01100637147701, 40.672227978729495, -74.01173329192078, 40.67269448181156)",75
"(-74.01100637147701, 40.672227978729495, -74.00982455709726, 40.67193240065016)",75
"(-74.01173329192078, 40.67269448181156, -74.01244115447139, 40.67314874343735)",75
"(-74.00062831120819, 40.67482495852469, -74.00045011468082, 40.67476942460533)",3
"(-74.00045011468082, 40.67476942460533, -74.0003561553709, 40.67474573328763)",3
"(-74.0003561553709, 40.67474573328763, -74.00013621940334, 40.674688307021334)",3
"(-74.00164250269819, 40.67503235870913, -74.00169391402974, 40.674927451580984)",149
"(-74.00169391402974, 40.674927451580984, -74.00192453388962, 40.67445686767263)",149
"(-74.00192453388962, 40.67445686767263, -74.00210501734045, 40.6740705381874)",131
"(-74.00210501734045, 40.6740705381874, -74.00214853978879, 40.67397737370359)",131
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",3081
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",3081
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",3081
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",253
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",2828
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",2404
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",2404
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",2404
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",2404
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",6133
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",6133
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",6133
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",6133
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",8287
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",6133
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",8287
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",8287
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",8287
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",253
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",253
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",253
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",8287
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",253
"(-73.98630926847324, 40.67707840436804, -73.98699859921716, 40.676285446042925)",40
"(-73.98630926847324, 40.67707840436804, -73.98586016372549, 40.677708881397606)",40
"(-73.98699859921716, 40.676285446042925, -73.98747868639666, 40.675707377801956)",40
"(-73.99776979507268, 40.674741487908165, -73.99666043533924, 40.67414278070709)",40
"(-73.99776979507268, 40.674741487908165, -73.99807658786466, 40.67411460896819)",69
"(-73.99776979507268, 40.674741487908165, -73.99744702777404, 40.67540002863195)",29
"(-73.99666043533924, 40.67414278070709, -73.99631939541817, 40.67403403581914)",40
"(-73.99631939541817, 40.67403403581914, -73.99337906131427, 40.6726041536998)",40
"(-73.99337906131427, 40.6726041536998, -73.99102303839103, 40.67145846659621)",40
"(-73.98800399215746, 40.67507708237837, -73.98905604055847, 40.673816160146586)",40
"(-73.98800399215746, 40.67507708237837, -73.98747868639666, 40.675707377801956)",40
"(-73.98951103650522, 40.67327082449606, -73.99001383956131, 40.67266881995156)",40
"(-73.98951103650522, 40.67327082449606, -73.98905604055847, 40.673816160146586)",40
"(-73.99001383956131, 40.67266881995156, -73.99051727231378, 40.67206608470209)",40
"(-73.98850509955685, 40.67953715744013, -73.98820272280724, 40.679418484061586)",21
"(-73.98850509955685, 40.67953715744013, -73.98955883881523, 40.679945677176036)",21
"(-73.98820272280724, 40.679418484061586, -73.98739288377777, 40.67910379535718)",21
"(-73.98739288377777, 40.67910379535718, -73.98542920598878, 40.67834382547854)",21
"(-73.98542920598878, 40.67834382547854, -73.98586016372549, 40.677708881397606)",40
"(-73.98542920598878, 40.67834382547854, -73.98499877258278, 40.67897762431227)",61
"(-73.98499877258278, 40.67897762431227, -73.98271968671187, 40.678087929445425)",61
"(-73.98271968671187, 40.678087929445425, -73.98228247782426, 40.678711820468614)",61
"(-73.98228247782426, 40.678711820468614, -73.9821893980044, 40.67867580352823)",21
"(-73.98228247782426, 40.678711820468614, -73.98185715563015, 40.67935261431517)",40
"(-73.9821893980044, 40.67867580352823, -73.98212305951016, 40.678650002504845)",21
"(-73.98185715563015, 40.67935261431517, -73.98141332668921, 40.679988432713415)",40
"(-73.98141332668921, 40.679988432713415, -73.98095925248941, 40.68062085001629)",40
"(-74.0098052973035, 40.679990668785656, -74.00917947105675, 40.68052274427405)",385
"(-74.00917947105675, 40.68052274427405, -74.008553079275, 40.68105797717015)",385
"(-74.008553079275, 40.68105797717015, -74.00792484259573, 40.681591693883696)",385
"(-74.00792484259573, 40.681591693883696, -74.0073036007169, 40.68212289425341)",385
"(-74.0073036007169, 40.68212289425341, -74.00667784004503, 40.682657621511126)",385
"(-74.00667784004503, 40.682657621511126, -74.00645819325489, 40.68284601258061)",385
"(-74.00596041075583, 40.6833628714425, -74.00606453485244, 40.68320446109007)",385
"(-74.00606453485244, 40.68320446109007, -74.00622490611394, 40.68304610164205)",385
"(-74.00071834391994, 40.67704413350783, -74.00102823029921, 40.67641404011958)",146
"(-74.00071834391994, 40.67704413350783, -74.00040459578244, 40.67768953297403)",146
"(-74.00102823029921, 40.67641404011958, -74.0011326796476, 40.67620364287346)",146
"(-74.00622490611394, 40.68304610164205, -74.00633919013816, 40.682948083457624)",385
"(-74.00633919013816, 40.682948083457624, -74.00645819325489, 40.68284601258061)",385
"(-74.0011326796476, 40.67620364287346, -74.00115992877635, 40.6760622527787)",146
"(-74.00115992877635, 40.6760622527787, -74.00120327412618, 40.675972728557426)",146
"(-74.00123348380762, 40.67591033517005, -74.00129096519822, 40.675797986313526)",146
"(-74.00123348380762, 40.67591033517005, -74.00120327412618, 40.675972728557426)",146
"(-74.0051788806772, 40.68499519603984, -74.00301014422467, 40.68439074297093)",357
"(-74.0051788806772, 40.68499519603984, -74.00485241636525, 40.68566813087762)",28
"(-74.00301014422467, 40.68439074297093, -74.00164857104464, 40.68400912374694)",357
"(-74.00485241636525, 40.68566813087762, -74.00268595111058, 40.685061930959414)",28
"(-74.00268595111058, 40.685061930959414, -74.00132721701732, 40.684682253007985)",882
